Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Category,Item_Visibility_MeanRatio
FDJ56,12.857645184135976,Low Fat,0.32111501,Fruits and Vegetables,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74,40,Food,1.521102972391103
FDN25,7.895,Regular,0.061124626,Breakfast,58.5588,OUT013,1987,High,Tier 3,Supermarket Type1,171.7764,38,Food,0.8680146366297523
FDC10,12.857645184135976,Regular,0.127599399,Snack Foods,118.9098,OUT019,1985,Small,Tier 1,Grocery Store,120.5098,40,Food,1.5216891816906157
FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,628.5152,26,Food,1.001975477176088
NCR54,16.35,Low Fat,0.0,Household,198.211,OUT035,2004,Small,Tier 2,Supermarket Type1,2946.165,21,Non-Consumable,0.0
DRK11,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,OUT035,2004,Small,Tier 2,Supermarket Type1,1789.6704,21,Drinks,1.04228797582015
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,OUT017,2007,Small,Tier 2,Supermarket Type1,468.7232,18,Drinks,0.9032521330735891
FDX37,16.2,Low Fat,0.063127333,Canned,100.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1597.92,26,Food,1.058730690115789
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,OUT046,1997,Small,Tier 1,Supermarket Type1,3681.874,28,Food,0.9990697423926643
FDW36,12.857645184135976,Low Fat,0.099681705,Baking Goods,107.4622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866,40,Food,1.4752269612769424
FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.426,21,Food,0.9029258400342142
FDB04,11.35,Regular,0.063354531,Dairy,88.9856,OUT045,2002,Small,Tier 2,Supermarket Type1,1230.3984,23,Food,0.9047433637286322
FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,OUT035,2004,Small,Tier 2,Supermarket Type1,4410.2592,21,Food,0.8307568232071815
FDY28,7.47,Regular,0.152024355,Frozen Foods,211.8218,OUT013,1987,High,Tier 3,Supermarket Type1,1496.0526,38,Food,1.259516438581262
FDP20,19.85,Low Fat,0.045669236,Fruits and Vegetables,126.402,OUT046,1997,Small,Tier 1,Supermarket Type1,1012.016,28,Food,0.9986843747863622
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,Small,Tier 2,Supermarket Type1,2862.94,18,Food,1.0048782207497677
FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,OUT049,1999,Medium,Tier 1,Supermarket Type1,6692.6216,26,Food,1.3313062512549905
NCC42,15.0,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838,28,Non-Consumable,0.9993128172898967
NCF42,17.35,Low Fat,0.168329848,Household,176.7712,OUT017,2007,Small,Tier 2,Supermarket Type1,2812.3392,18,Non-Consumable,0.8677297842438866
FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,OUT010,1998,Small,Tier 3,Grocery Store,992.042,27,Food,1.351380392227863
FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,OUT017,2007,Small,Tier 2,Supermarket Type1,5191.2426,18,Food,1.0484823559886174
FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,1999,Medium,Tier 1,Supermarket Type1,1148.505,26,Food,0.8320335631355558
FDA10,12.857645184135976,Low Fat,0.248301532,Snack Foods,124.1072,OUT019,1985,Small,Tier 1,Grocery Store,245.0144,40,Food,1.8252278764811696
NCM26,20.5,Low Fat,0.023274107,Others,154.134,OUT017,2007,Small,Tier 2,Supermarket Type1,2909.546,18,Non-Consumable,0.87307509845814
FDZ58,12.857645184135976,Low Fat,0.091354948,Snack Foods,122.3072,OUT019,1985,Small,Tier 1,Grocery Store,122.5072,40,Food,1.5799794328431829
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,21,Food,0.8868820957447775
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.7432,21,Food,1.0346957432114243
FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,OUT018,2009,Medium,Tier 3,Supermarket Type2,5785.802,16,Food,1.4049124023982331
FDD04,16.0,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,1985.4156,18,Food,0.8926897993132232
FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,OUT046,1997,Small,Tier 1,Supermarket Type1,4175.8976,28,Food,0.9210131658688381
NCL42,18.85,Low Fat,0.040338009,Household,246.7144,OUT013,1987,High,Tier 3,Supermarket Type1,6615.3888,38,Non-Consumable,0.997047787097199
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,OUT035,2004,Small,Tier 2,Supermarket Type1,569.259,21,Drinks,0.8801176194698641
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752,16,Food,1.00403377829692
FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,OUT035,2004,Small,Tier 2,Supermarket Type1,2631.2416,21,Food,0.9998501560609401
FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,OUT010,1998,Small,Tier 3,Grocery Store,363.5268,27,Food,1.5023087917058031
NCE19,8.97,Low Fat,0.09301462,Household,52.7956,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.3164,28,Non-Consumable,0.9033901781963537
NCJ18,12.35,Low Fat,0.274405193,Household,117.1124,OUT010,1998,Small,Tier 3,Grocery Store,355.5372,27,Non-Consumable,1.5272819696229667
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3283.7256,26,Food,0.9562438245886796
FDY04,17.7,Regular,0.042468413,Frozen Foods,162.421,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089,21,Food,0.9984328892275133
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518,26,Drinks,0.8891724941655551
FDX27,20.7,Regular,0.191008614,Dairy,92.8436,OUT010,1998,Small,Tier 3,Grocery Store,189.0872,27,Food,1.4737766406215114
FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,OUT013,1987,High,Tier 3,Supermarket Type1,339.558,38,Food,1.048286838887145
FDE33,12.857645184135976,Regular,0.086905536,Fruits and Vegetables,78.8644,OUT019,1985,Small,Tier 1,Grocery Store,314.2576,40,Food,1.4541719717475279
FDQ37,20.75,Low Fat,0.089186387,Breakfast,193.3478,OUT013,1987,High,Tier 3,Supermarket Type1,6006.1818,38,Food,0.8814219845862096
NCG30,20.2,Low Fat,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,Supermarket Type1,2988.1104,28,Non-Consumable,0.8890497166560731
NCH29,5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,OUT017,2007,Small,Tier 2,Supermarket Type1,1761.7068,18,Non-Consumable,1.2549799666131216
FDV20,20.2,Regular,0.0,Fruits and Vegetables,129.0678,OUT017,2007,Small,Tier 2,Supermarket Type1,3560.6984,18,Food,0.0
FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,874.8612,16,Food,0.9247649872277783
FDU60,20.0,Regular,0.059889718,Baking Goods,168.5132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244,21,Food,0.8160314087866891
NCH30,17.1,Low Fat,0.112402118,Household,112.986,OUT010,1998,Small,Tier 3,Grocery Store,113.186,27,Non-Consumable,1.7559887814070767
NCM29,11.5,Low Fat,0.029529474,Health and Hygiene,132.6626,OUT010,1998,Small,Tier 3,Grocery Store,262.3252,27,Non-Consumable,1.5254908256929822
FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16,Food,1.0031492697276576
FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,OUT049,1999,Medium,Tier 1,Supermarket Type1,503.3448,26,Food,0.7791733024267992
FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872,26,Food,1.0011701819742511
FDW56,12.857645184135976,Low Fat,0.070556945,Fruits and Vegetables,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,40,Food,0.893822275456384
FDA01,15.0,Regular,0.054599767,Canned,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,16,Food,0.9151091013912075
FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,Supermarket Type1,2885.5772,38,Food,0.8971198815528274
FDT40,5.985,Low Fat,0.0,Frozen Foods,125.2678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,21,Food,0.0
FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,21,Food,0.9025604930948656
NCP41,16.6,Low Fat,0.016276741,Health and Hygiene,109.8596,OUT018,2009,Medium,Tier 3,Supermarket Type2,1617.894,16,Non-Consumable,0.7399341981325922
FDW36,12.857645184135976,Low Fat,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2328.9684,40,Food,0.8384873471205572
FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,1999,Medium,Tier 1,Supermarket Type1,1328.271,26,Food,1.000866496209355
NCU54,8.88,Low Fat,0.165073642,Household,207.727,OUT010,1998,Small,Tier 3,Grocery Store,209.727,27,Non-Consumable,1.5031246469185489
FDS01,11.6,Low Fat,0.017744999,Canned,177.9686,OUT046,1997,Small,Tier 1,Supermarket Type1,1244.3802,28,Food,1.0358421501394053
FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,OUT017,2007,Small,Tier 2,Supermarket Type1,1518.024,18,Food,1.0054306252905911
FDY08,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,23,Food,0.8570500994299544
FDJ28,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,28,Food,1.0871185967960213
DRF36,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,OUT046,1997,Small,Tier 1,Supermarket Type1,2866.269,28,Drinks,0.8986598009862975
FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,OUT010,1998,Small,Tier 3,Grocery Store,294.2836,27,Food,1.5027686386745862
NCY54,8.43,Low Fat,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2069.3064,26,Non-Consumable,1.0024260704914134
FDR59,14.5,Regular,0.106894492,Breads,260.4594,OUT010,1998,Small,Tier 3,Grocery Store,1046.6376,27,Food,1.543171266779588
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,28,Drinks,0.9495977857505193
FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,OUT017,2007,Small,Tier 2,Supermarket Type1,1930.1542,18,Food,1.0375284645912062
FDZ28,20.0,Regular,0.051596927,Frozen Foods,128.0678,OUT045,2002,Small,Tier 2,Supermarket Type1,1780.3492,23,Food,1.069274035036585
DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,OUT045,2002,Small,Tier 2,Supermarket Type1,7086.1094,23,Drinks,0.8819566145199222
FDH21,12.857645184135976,Low Fat,0.054670967,Seafood,158.6604,OUT019,1985,Small,Tier 1,Grocery Store,316.9208,40,Food,1.45518124832821
NCN19,13.1,Low Fat,0.012089479,Others,189.853,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,38,Non-Consumable,1.0408757945324802
FDP25,15.2,Low Fat,0.021250528,Canned,216.5824,OUT045,2002,Small,Tier 2,Supermarket Type1,5241.1776,23,Food,0.8644012218917266
DRH59,10.8,Low Fat,0.05843345,Hard Drinks,74.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1025.332,28,Drinks,1.1220007621013348
FDH09,12.6,Low Fat,0.05606697,Seafood,50.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,473.3838,21,Food,0.998970265595916
NCK54,12.15,Low Fat,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,Supermarket Type1,2912.875,26,Non-Consumable,2.0039509817657457
FDT21,7.42,Low Fat,0.0204332,Snack Foods,248.9092,OUT045,2002,Small,Tier 2,Supermarket Type1,5976.2208,23,Food,1.1431675584329284
FDR12,12.857645184135976,Regular,0.055213281,Baking Goods,172.4764,OUT019,1985,Small,Tier 1,Grocery Store,687.1056,40,Food,1.5547279371598346
FDS25,6.885,Regular,0.1408005,Canned,111.4228,OUT017,2007,Small,Tier 2,Supermarket Type1,2984.1156,18,Food,1.0042674138024505
NCL05,12.857645184135976,Low Fat,0.047665717,Health and Hygiene,42.177,OUT027,1985,Medium,Tier 3,Supermarket Type3,1255.033,40,Non-Consumable,1.0321557229948972
NCI30,20.25,Low Fat,0.059268885,Household,246.446,OUT017,2007,Small,Tier 2,Supermarket Type1,3695.19,18,Non-Consumable,0.8923572611800324
FDJ26,15.3,Regular,0.084937098,Canned,214.0218,OUT045,2002,Small,Tier 2,Supermarket Type1,1068.609,23,Food,1.001813641873478
FDA56,9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,OUT049,1999,Medium,Tier 1,Supermarket Type1,1583.9382,26,Food,1.0019739716347642
FDM33,15.6,Low Fat,0.0,Snack Foods,220.4798,OUT018,2009,Medium,Tier 3,Supermarket Type2,661.1394,16,Food,0.0
FDP04,15.35,Low Fat,0.013834247,Frozen Foods,62.7168,OUT049,1999,Medium,Tier 1,Supermarket Type1,958.752,26,Food,1.000991422552439
FDR55,12.15,Regular,0.132351411,Fruits and Vegetables,190.3872,OUT045,2002,Small,Tier 2,Supermarket Type1,2836.308,23,Food,1.0011850026659637
NCZ54,12.857645184135976,Low Fat,0.082955719,Household,164.0552,OUT027,1985,Medium,Tier 3,Supermarket Type3,5523.4768,40,Non-Consumable,1.0314520840728056
NCA53,11.395,Low Fat,0.009893817,Health and Hygiene,50.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068,26,Non-Consumable,0.8884040917987848
FDL20,17.1,Low Fat,0.0,Fruits and Vegetables,111.9886,OUT046,1997,Small,Tier 1,Supermarket Type1,3002.0922,28,Food,0.0
FDT26,18.85,Regular,0.067940657,Dairy,119.044,OUT035,2004,Small,Tier 2,Supermarket Type1,1198.44,21,Food,0.9993737352809753
NCZ06,19.6,Low Fat,0.094161662,Household,251.9698,OUT046,1997,Small,Tier 1,Supermarket Type1,4566.0564,28,Non-Consumable,0.9024711203522249
FDA04,11.3,Regular,0.067107448,Frozen Foods,258.1962,OUT017,2007,Small,Tier 2,Supermarket Type1,4402.9354,18,Food,1.004720896811356
FDD29,12.857645184135976,Low Fat,0.018321361,Frozen Foods,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262,40,Food,0.9172786801350341
FDS56,5.785,Regular,0.038756864,Fruits and Vegetables,260.7252,OUT046,1997,Small,Tier 1,Supermarket Type1,6033.4796,28,Food,0.8982056207307955
FDT07,5.82,Regular,0.077254736,Fruits and Vegetables,257.633,OUT013,1987,High,Tier 3,Supermarket Type1,1537.998,38,Food,1.0269215062410535
FDT58,9.0,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16,Food,0.9018560081505079
FDJ10,12.857645184135976,Regular,0.128876537,Snack Foods,139.1838,OUT027,1985,Medium,Tier 3,Supermarket Type3,4916.933,40,Food,0.9948602369847318
FDN25,7.895,Regular,0.061163967,Breakfast,59.2588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,21,Food,0.8685733077587936
DRC27,13.8,Low Fat,0.058220302,Dairy,247.4802,OUT045,2002,Small,Tier 2,Supermarket Type1,1474.0812,23,Drinks,0.8990939613691197
FDA38,5.44,Low Fat,0.025519534,Dairy,238.7538,OUT049,1999,Medium,Tier 1,Supermarket Type1,3605.307,26,Food,0.8424094624776564
FDM56,16.7,Low Fat,0.070133177,Fruits and Vegetables,109.8912,OUT013,1987,High,Tier 3,Supermarket Type1,873.5296,38,Food,1.0515668532978086
NCI43,19.85,Low Fat,0.025947095,Household,46.9376,OUT013,1987,High,Tier 3,Supermarket Type1,575.2512,38,Non-Consumable,0.9985244107833136
FDP36,10.395,Regular,0.091688111,Baking Goods,49.0008,OUT017,2007,Small,Tier 2,Supermarket Type1,860.2136,18,Food,1.504854729534662
DRK49,12.857645184135976,Low Fat,0.0,Soft Drinks,40.5138,OUT019,1985,Small,Tier 1,Grocery Store,40.6138,40,Drinks,0.0
FDW32,12.857645184135976,Regular,0.165101585,Fruits and Vegetables,87.7882,OUT019,1985,Small,Tier 1,Grocery Store,515.3292,40,Food,1.4539104776747893
NCW18,15.1,Low Fat,0.059417055,Household,237.9248,OUT049,1999,Medium,Tier 1,Supermarket Type1,2133.2232,26,Non-Consumable,1.0026348396393225
FDQ44,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.2756,OUT018,2009,Medium,Tier 3,Supermarket Type2,2181.1608,16,Food,1.0023277748259243
FDL45,15.6,Low Fat,0.037764269,Snack Foods,124.9704,OUT045,2002,Small,Tier 2,Supermarket Type1,2253.0672,23,Food,0.8999549286984306
DRB48,16.75,Regular,0.024848788,Soft Drinks,39.9822,OUT035,2004,Small,Tier 2,Supermarket Type1,746.3618,21,Drinks,1.0484684651776663
FDQ34,10.85,Low Fat,0.162903525,Snack Foods,104.9622,OUT018,2009,Medium,Tier 3,Supermarket Type2,1482.0708,16,Food,0.9055488701797472
FDH17,16.2,Regular,0.016747538,Frozen Foods,98.6726,OUT017,2007,Small,Tier 2,Supermarket Type1,1272.3438,18,Food,0.9072708001917985
FDN08,7.72,Regular,0.147904328,Fruits and Vegetables,116.6466,OUT010,1998,Small,Tier 3,Grocery Store,117.8466,27,Food,1.789528491939672
FDK57,12.857645184135976,Low Fat,0.079904068,Snack Foods,120.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,4434.228,40,Food,1.0
FDK10,5.785,Regular,0.040325274,Snack Foods,180.466,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,38,Food,0.998395823400817
FDL39,12.857645184135976,Regular,0.06302467,Dairy,181.6318,OUT027,1985,Medium,Tier 3,Supermarket Type3,1263.0226,40,Food,0.9942591598829739
FDP25,15.2,Low Fat,0.021203509,Canned,216.3824,OUT035,2004,Small,Tier 2,Supermarket Type1,6114.7072,21,Food,0.862488644422963
FDC05,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,Supermarket Type1,2167.8448,21,Food,0.9970451961165948
FDA39,6.32,Low Fat,0.012707362,Meat,41.0822,OUT013,1987,High,Tier 3,Supermarket Type1,942.7728,38,Food,1.0408804342732207
FDZ10,17.85,Low Fat,0.04442649,Snack Foods,124.902,OUT013,1987,High,Tier 3,Supermarket Type1,1897.53,38,Food,0.8078929833833489
FDK08,12.857645184135976,Regular,0.121712459,Fruits and Vegetables,101.2016,OUT027,1985,Medium,Tier 3,Supermarket Type3,2631.2416,40,Food,0.8268743999532572
DRD24,13.85,Low Fat,0.030769458,Soft Drinks,141.7154,OUT013,1987,High,Tier 3,Supermarket Type1,2978.1234,38,Drinks,0.9107704090111965
DRG48,5.78,Low Fat,0.014614357,Soft Drinks,147.3102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2332.9632,16,Drinks,1.0035088442579685
FDH52,12.857645184135976,Regular,0.076868664,Frozen Foods,62.1194,OUT019,1985,Small,Tier 1,Grocery Store,123.8388,40,Food,1.4000677236324526
FDS25,6.885,Regular,0.140292495,Canned,108.5228,OUT045,2002,Small,Tier 2,Supermarket Type1,1989.4104,23,Food,1.0006440398261598
NCH43,8.42,Low Fat,0.070555571,Household,216.0192,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112,21,Non-Consumable,0.8871951396627452
DRK01,7.63,Low Fat,0.061409711,Soft Drinks,94.6436,OUT017,2007,Small,Tier 2,Supermarket Type1,1607.2412,18,Drinks,1.0030237330709384
FDD59,10.5,Regular,0.066555152,Starchy Foods,80.896,OUT017,2007,Small,Tier 2,Supermarket Type1,958.752,18,Food,1.3396062037745209
FDB27,7.575,Low Fat,0.092711708,Dairy,197.7768,OUT010,1998,Small,Tier 3,Grocery Store,197.0768,27,Food,1.5051332483369642
FDO22,13.5,Regular,0.017844609,Snack Foods,81.396,OUT013,1987,High,Tier 3,Supermarket Type1,1198.44,38,Food,1.0460494252790689
FDD35,12.15,Low Fat,0.025916883,Starchy Foods,120.244,OUT045,2002,Small,Tier 2,Supermarket Type1,2277.036,23,Food,1.2519060412281953
FDR01,5.405,Regular,0.053611144,Canned,197.7742,OUT035,2004,Small,Tier 2,Supermarket Type1,796.2968,21,Food,0.9022674084943128
NCB31,12.857645184135976,Low Fat,0.207783483,Household,262.291,OUT019,1985,Small,Tier 1,Grocery Store,525.982,40,Non-Consumable,1.5991236659831176
FDC35,7.435,Low Fat,0.122837694,Starchy Foods,208.7638,OUT046,1997,Small,Tier 1,Supermarket Type1,3105.957,28,Food,0.8989812040583396
FDS23,4.635,Low Fat,0.141174838,Breads,127.0994,OUT045,2002,Small,Tier 2,Supermarket Type1,2826.9868,23,Food,0.8893843836978458
FDC33,8.96,Regular,0.069078149,Fruits and Vegetables,197.7768,OUT045,2002,Small,Tier 2,Supermarket Type1,3153.2288,23,Food,1.001988321272405
NCF18,18.35,Low Fat,0.089345074,Household,191.9504,OUT018,2009,Medium,Tier 3,Supermarket Type2,5369.0112,16,Non-Consumable,0.8847676392362122
FDM36,11.65,Regular,0.058822142,Baking Goods,173.5422,OUT049,1999,Medium,Tier 1,Supermarket Type1,3448.844,26,Food,0.9043712305418681
FDJ53,10.5,Low Fat,0.071368699,Frozen Foods,121.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1446.1176,26,Food,1.0005120153176317
NCL17,7.39,Low Fat,0.068055818,Health and Hygiene,140.7812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1567.2932,16,Non-Consumable,1.001684334298646
FDW27,12.857645184135976,Regular,0.150122794,Meat,154.5314,OUT027,1985,Medium,Tier 3,Supermarket Type3,1396.1826,40,Food,0.8841017876756668
FDA32,14.0,Low Fat,0.030094192,Fruits and Vegetables,215.7192,OUT046,1997,Small,Tier 1,Supermarket Type1,1078.596,28,Food,0.9418321389875663
FDA03,18.5,Regular,0.076097035,Dairy,145.8102,OUT010,1998,Small,Tier 3,Grocery Store,291.6204,27,Food,1.771313150157339
FDW09,13.65,Regular,0.025973384,Snack Foods,79.6302,OUT045,2002,Small,Tier 2,Supermarket Type1,554.6114,23,Food,0.9136209262816735
FDN09,14.15,Low Fat,0.0,Snack Foods,244.1828,OUT045,2002,Small,Tier 2,Supermarket Type1,731.0484,23,Food,0.0
FDM08,10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,OUT017,2007,Small,Tier 2,Supermarket Type1,4250.4672,18,Food,1.0533829134789123
FDX01,10.1,Low Fat,0.024262772,Canned,117.615,OUT018,2009,Medium,Tier 3,Supermarket Type2,1514.695,16,Food,0.9023461480649285
DRO35,13.85,Low Fat,0.034624104,Hard Drinks,115.0492,OUT049,1999,Medium,Tier 1,Supermarket Type1,4054.722,26,Drinks,0.9992466711670727
FDS31,13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,OUT045,2002,Small,Tier 2,Supermarket Type1,3067.3406,23,Food,1.402719486935166
NCM53,18.75,Low Fat,0.052121825,Health and Hygiene,104.828,OUT049,1999,Medium,Tier 1,Supermarket Type1,2343.616,26,Non-Consumable,0.9988951249890646
FDI16,14.0,Regular,0.135662712,Frozen Foods,52.064,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,38,Food,1.0569115056400635
DRF36,16.1,Low Fat,0.023613955,Soft Drinks,192.8846,OUT049,1999,Medium,Tier 1,Supermarket Type1,5350.3688,26,Drinks,0.9000569997800165
FDW49,12.857645184135976,Low Fat,0.082152451,Canned,179.9002,OUT027,1985,Medium,Tier 3,Supermarket Type3,4119.3046,40,Food,1.022799741470057
FDB58,12.857645184135976,Regular,0.02363057,Snack Foods,141.7154,OUT019,1985,Small,Tier 1,Grocery Store,425.4462,40,Food,1.454119905113251
NCJ18,12.35,Low Fat,0.164274416,Household,119.8124,OUT045,2002,Small,Tier 2,Supermarket Type1,2133.2232,23,Non-Consumable,0.9143170757236456
FDL51,20.7,Regular,0.047587685,Dairy,215.0876,OUT045,2002,Small,Tier 2,Supermarket Type1,5145.3024,23,Food,1.0009211628935026
FDS03,7.825,Low Fat,0.079952983,Meat,62.7826,OUT018,2009,Medium,Tier 3,Supermarket Type2,1162.4868,16,Food,0.8115138115208048
NCO54,12.857645184135976,Low Fat,0.024992442,Household,53.6614,OUT019,1985,Small,Tier 1,Grocery Store,165.7842,40,Non-Consumable,1.5992410778014032
FDA48,12.1,Low Fat,0.115107028,Baking Goods,222.0114,OUT045,2002,Small,Tier 2,Supermarket Type1,3547.3824,23,Food,1.001012987641836
NCK06,12.857645184135976,Low Fat,0.008604657,Household,123.1756,OUT027,1985,Medium,Tier 3,Supermarket Type3,1211.756,40,Non-Consumable,0.8775701745525548
NCZ54,14.65,Low Fat,0.083528446,Household,162.4552,OUT045,2002,Small,Tier 2,Supermarket Type1,2274.3728,23,Non-Consumable,1.03857323816412
FDW39,12.857645184135976,Regular,0.036731658,Meat,177.237,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.799,40,Food,1.0384409158501637
FDI09,20.75,Regular,0.129337594,Seafood,238.188,OUT046,1997,Small,Tier 1,Supermarket Type1,5033.448,28,Food,1.3308365432812181
NCO02,11.15,Low Fat,0.0,Others,65.0142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1120.5414,26,Non-Consumable,0.0
DRF13,12.1,Low Fat,0.029827665,Soft Drinks,144.3444,OUT049,1999,Medium,Tier 1,Supermarket Type1,2612.5992,26,Drinks,1.198674161790881
FDK25,11.6,Regular,0.157718931,Breakfast,168.3474,OUT017,2007,Small,Tier 2,Supermarket Type1,4548.0798,18,Food,0.8932447632243421
FDZ38,17.6,Low Fat,0.008046275,Dairy,173.7422,OUT017,2007,Small,Tier 2,Supermarket Type1,5863.0348,18,Food,0.8932648621492748
NCQ42,12.857645184135976,Low Fat,0.068753558,Household,127.9678,OUT019,1985,Small,Tier 1,Grocery Store,254.3356,40,Non-Consumable,1.8267337941760418
FDM14,12.857645184135976,Low Fat,0.013199737,Canned,108.9254,OUT027,1985,Medium,Tier 3,Supermarket Type3,2713.135,40,Food,0.9968293649629901
FDC20,10.65,Low Fat,0.023971463,Fruits and Vegetables,54.0272,OUT046,1997,Small,Tier 1,Supermarket Type1,447.4176,28,Food,1.041191441225051
FDW32,18.35,Regular,0.09468096,Fruits and Vegetables,86.2882,OUT018,2009,Medium,Tier 3,Supermarket Type2,1631.8758,16,Food,0.8337753982210868
FDQ19,7.35,Regular,0.014394261,Fruits and Vegetables,241.3512,OUT045,2002,Small,Tier 2,Supermarket Type1,5331.7264,23,Food,0.8582408724348601
